,ID,A1,A2,A3,A4,A5,Score,source,target,source_tag,target_tag
2816,7023__line_36__secure_39,3,2,1,1,0,0.79988718,line,secure,"('line', 'NN')","('secure', 'NN')"
2824,11367__sort_16__diamond_18,3,2,2,1,0,0.7990289859999999,sort,diamond,"('sort', 'NN')","('diamond', 'NN')"
2826,6677__class_47__struggle_48,3,1,1,1,1,0.798771538,class,struggle,"('class', 'NN')","('struggle', 'NN')"
2827,8747__privacy_8__intrude_3,2,2,1,1,1,0.798672183,privacy,intrude,"('privacy', 'NN')","('intrude', 'NN')"
2829,814__humourless_12__piece_14,3,3,2,0,0,0.798370307,humourless,piece,"('humourless', 'NN')","('piece', 'NN')"
2830,3193__contact_36__act_35,2,2,2,1,1,0.7983186440000001,contact,act,"('contact', 'NN')","('act', 'NN')"
2845,7023__compromise_42__secure_39,2,2,2,1,0,0.796493056,compromise,secure,"('compromise', 'NN')","('secure', 'NN')"
2850,555__spending_16__underpinning_18,3,2,1,1,0,0.796493056,spending,underpinning,"('spending', 'NN')","('underpinning', 'NN')"
2851,3196__follow-up_19__plan_20,2,2,2,1,0,0.796493056,follow-up,plan,"('follow-up', 'NN')","('plan', 'NN')"
2853,3116__trust_14__status_15,3,2,1,1,0,0.796402033,trust,status,"('trust', 'NN')","('status', 'NN')"
2859,3717__explanations_6__look_3,3,2,1,1,1,0.795254087,explanations,look,"('explanations', 'NNS')","('look', 'NN')"
2866,3492__living-spaces_13__honeycombs_10,3,3,2,1,0,0.79378124,living-spaces,honeycombs,"('living-spaces', 'NNS')","('honeycombs', 'NNS')"
2869,1852__institutions_10__network_4,1,1,1,1,1,0.792421444,institutions,network,"('institutions', 'NNS')","('network', 'NN')"
2872,491__keeper_51__stretch_49,3,2,2,0,0,0.792176164,keeper,stretch,"('keeper', 'NN')","('stretch', 'NN')"
2876,2999__secure_16__donation_18,2,1,1,1,1,0.7918755059999999,secure,donation,"('secure', 'NN')","('donation', 'NN')"
2881,6636__encounters_3__products_5,3,2,1,1,0,0.7911342309999999,encounters,products,"('encounters', 'NNS')","('products', 'NNS')"
2886,1095__trams_26__share_30,3,2,2,0,0,0.789822093,trams,share,"('trams', 'NNS')","('share', 'NN')"
2894,469__backward_7__step_6,2,2,2,1,1,0.7890891879999999,backward,step,"('backward', 'NN')","('step', 'NN')"
2899,1757__swung_24__battle_22,3,2,1,1,0,0.7883038840000001,swung,battle,"('swung', 'NN')","('battle', 'NN')"
2901,3646__sound_39__cry_64,2,2,2,1,0,0.7883038840000001,sound,cry,"('sound', 'NN')","('cry', 'NN')"
2903,6600__effects_10__yield_45,3,3,2,1,0,0.788302367,effects,yield,"('effects', 'NNS')","('yield', 'NN')"
2906,5655__ladies_38__win_36,2,2,2,0,0,0.7882633729999999,ladies,win,"('ladies', 'NNS')","('win', 'NN')"
2909,2720__lay_22__hands_23,2,2,1,1,1,0.78812365,lay,hands,"('lay', 'NN')","('hands', 'NNS')"
2915,190__rowing_16__cause_14,3,2,1,0,0,0.787474254,rowing,cause,"('rowing', 'NN')","('cause', 'NN')"
2922,5218__space_57__invaders_53,3,2,2,1,0,0.786632058,space,invaders,"('space', 'NN')","('invaders', 'NNS')"
2926,6600__actions_44__yield_45,3,2,2,1,1,0.786449717,actions,yield,"('actions', 'NNS')","('yield', 'NN')"
2929,6458__behaviours_38__reconstruct_43,3,2,2,1,1,0.786449717,behaviours,reconstruct,"('behaviours', 'NN')","('reconstruct', 'NN')"
2932,3711__criminality_19__dimensions_11,3,3,1,0,0,0.785641189,criminality,dimensions,"('criminality', 'NN')","('dimensions', 'NNS')"
2938,3518__community_54__spirit_55,2,2,1,1,1,0.78490976,community,spirit,"('community', 'NN')","('spirit', 'NN')"
2944,3635__disorder_34__growth_31,2,2,2,2,0,0.784290638,disorder,growth,"('disorder', 'NN')","('growth', 'NN')"
2945,6796__relation_42__conception_45,2,2,2,2,0,0.784290638,relation,conception,"('relation', 'NN')","('conception', 'NN')"
2947,2723__depths_24__sprawl_25,3,2,2,1,0,0.7842421629999999,depths,sprawl,"('depths', 'NNS')","('sprawl', 'NN')"
2956,2822__showers_6__greet_11,3,2,2,0,0,0.783198328,showers,greet,"('showers', 'NNS')","('greet', 'NN')"
2958,8326__money_5__raise_4,2,2,1,1,1,0.782314414,money,raise,"('money', 'NN')","('raise', 'NN')"
2962,6377__preponderance_2__attitudes_15,3,3,1,1,0,0.781785477,preponderance,attitudes,"('preponderance', 'NN')","('attitudes', 'NNS')"
2965,3164__reality_25__shapes_23,2,2,2,1,0,0.7813559109999999,reality,shapes,"('reality', 'NN')","('shapes', 'NNS')"
2967,3734__fields_21__applications_20,2,1,1,0,0,0.780878152,fields,applications,"('fields', 'NNS')","('applications', 'NNS')"
2971,5019__spy_17__port_18,2,2,2,1,1,0.779320804,spy,port,"('spy', 'NN')","('port', 'NN')"
2975,927__punch_7__favours_3,2,1,1,1,0,0.7789580159999999,punch,favours,"('punch', 'NN')","('favours', 'NNS')"
2979,1847__economies_19__home_18,3,2,1,1,0,0.778790003,economies,home,"('economies', 'NNS')","('home', 'NN')"
2984,2770__landscapes_25__marks_21,3,3,2,1,0,0.778345559,landscapes,marks,"('landscapes', 'NNS')","('marks', 'NNS')"
2986,14443__margarine_9__lot_7,3,2,1,1,0,0.777907668,margarine,lot,"('margarine', 'NN')","('lot', 'NN')"
2991,1750__communication_11__cuts_9,2,1,1,1,1,0.776696409,communication,cuts,"('communication', 'NN')","('cuts', 'NNS')"
2994,5346__imagination_48__trick_45,3,2,1,1,0,0.776239419,imagination,trick,"('imagination', 'NN')","('trick', 'NN')"
2995,597__fire_18__shut_21,2,2,1,1,0,0.7761713459999999,fire,shut,"('fire', 'NN')","('shut', 'NN')"
2996,6909__incompetence_9__invention_15,3,2,2,0,0,0.7761411559999999,incompetence,invention,"('incompetence', 'NN')","('invention', 'NN')"
3000,1760__muster_8__support_10,3,2,1,1,0,0.7759849320000001,muster,support,"('muster', 'NN')","('support', 'NN')"
3004,4603__hen_17__creations_13,3,3,2,0,0,0.77592247,hen,creations,"('hen', 'NN')","('creations', 'NNS')"
3013,3438__action_25__forms_22,2,1,1,1,1,0.7753829870000001,action,forms,"('action', 'NN')","('forms', 'NNS')"
3028,658__waste_4__chain_5,3,2,2,1,0,0.775199627,waste,chain,"('waste', 'NN')","('chain', 'NN')"
3035,158__criticism_9__focus_6,2,2,2,1,1,0.774624167,criticism,focus,"('criticism', 'NN')","('focus', 'NN')"
3041,13126__train_11__miss_9,2,2,1,1,0,0.774342077,train,miss,"('train', 'NN')","('miss', 'NN')"
3044,998__goal_7__retreat_3,3,3,1,1,0,0.77402098,goal,retreat,"('goal', 'NN')","('retreat', 'NN')"
3045,3143__punishment_17__form_15,2,2,2,1,1,0.7738901779999999,punishment,form,"('punishment', 'NN')","('form', 'NN')"
3046,6971__reformers_21__support_18,2,2,2,1,1,0.7738901779999999,reformers,support,"('reformers', 'NNS')","('support', 'NN')"
3050,1509__people_31__shift_30,2,2,1,1,0,0.773655997,people,shift,"('people', 'NNS')","('shift', 'NN')"
3054,14351__department_16__head_14,2,1,1,1,1,0.773302286,department,head,"('department', 'NN')","('head', 'NN')"
3055,2527__tradition_28__boundaries_25,2,2,1,1,0,0.773302286,tradition,boundaries,"('tradition', 'NN')","('boundaries', 'NNS')"
3066,3736__impact_25__consider_23,2,1,1,1,1,0.773302286,impact,consider,"('impact', 'NN')","('consider', 'NN')"
3067,1882__process_4__building_7,2,1,1,0,0,0.773203795,process,building,"('process', 'NN')","('building', 'NN')"
3069,2583__punishment_10__capital_9,3,1,1,1,0,0.7729523140000001,punishment,capital,"('punishment', 'NN')","('capital', 'NN')"
3071,3591__disorder_10__roots_7,3,2,1,1,0,0.772845296,disorder,roots,"('disorder', 'NN')","('roots', 'NNS')"
3073,1787__profits_13__crash_14,3,3,2,1,1,0.7727794509999999,profits,crash,"('profits', 'NNS')","('crash', 'NN')"
3077,6762__determination_5__sacrifice_7,3,2,2,0,0,0.77217188,determination,sacrifice,"('determination', 'NN')","('sacrifice', 'NN')"
3079,6630__defers_16__demonstration_18,2,2,2,1,0,0.772003021,defers,demonstration,"('defers', 'NNS')","('demonstration', 'NN')"
3087,3595__debate_16__sidelines_11,3,2,1,1,1,0.771805504,debate,sidelines,"('debate', 'NN')","('sidelines', 'NNS')"
3089,5572__delicacy_2__refinement_5,3,2,2,1,0,0.771805504,delicacy,refinement,"('delicacy', 'NN')","('refinement', 'NN')"
3091,143__clarity_21__model_18,3,2,2,1,0,0.771805504,clarity,model,"('clarity', 'NN')","('model', 'NN')"
3092,1484__plant_42__pull_39,3,2,1,1,1,0.771805504,plant,pull,"('plant', 'NN')","('pull', 'NN')"
3098,1483__float_33__support_36,3,2,1,1,0,0.771805504,float,support,"('float', 'NN')","('support', 'NN')"
3099,3552__anxiety_14__element_9,3,2,2,1,0,0.771805504,anxiety,element,"('anxiety', 'NN')","('element', 'NN')"
3100,3594__law_25__forces_23,2,2,1,1,1,0.771805504,law,forces,"('law', 'NN')","('forces', 'NNS')"
3101,3544__version_30__appropriation_22,3,2,2,1,0,0.771805504,version,appropriation,"('version', 'NN')","('appropriation', 'NN')"
3105,3437__essays_2__amount_8,3,2,1,1,0,0.771805504,essays,amount,"('essays', 'NNS')","('amount', 'NN')"
3108,3446__reform_18__pace_15,3,1,1,1,1,0.771805504,reform,pace,"('reform', 'NN')","('pace', 'NN')"
3111,6474__determination_10__mixture_6,3,2,2,1,0,0.771805504,determination,mixture,"('determination', 'NN')","('mixture', 'NN')"
3115,6474__resignation_8__mixture_6,3,2,2,1,0,0.771805504,resignation,mixture,"('resignation', 'NN')","('mixture', 'NN')"
3116,3566__debate_5__tone_2,2,2,1,1,0,0.7713731970000001,debate,tone,"('debate', 'NN')","('tone', 'NN')"
3118,11573__crap_14__load_12,3,2,1,1,1,0.771256025,crap,load,"('crap', 'NN')","('load', 'NN')"
3121,6357__escape_30__route_31,3,3,1,1,1,0.7707427859999999,escape,route,"('escape', 'NN')","('route', 'NN')"
3126,1853__roots_29__grass_28,3,1,1,1,1,0.7703371659999999,roots,grass,"('roots', 'NNS')","('grass', 'NN')"
3131,6822__view_66__commits_62,2,1,1,1,1,0.770097681,view,commits,"('view', 'NN')","('commits', 'NNS')"
3132,3634__policies_31__pursuit_28,2,2,1,1,1,0.770097681,policies,pursuit,"('policies', 'NNS')","('pursuit', 'NN')"
3138,4733__whisper_4__world_11,3,2,2,1,0,0.769440865,whisper,world,"('whisper', 'NN')","('world', 'NN')"
3148,2768__reserve_50__game_49,3,2,1,1,1,0.768551992,reserve,game,"('reserve', 'NN')","('game', 'NN')"
3160,612__peer_16__heart_19,3,2,2,0,0,0.76697529,peer,heart,"('peer', 'NN')","('heart', 'NN')"
3165,636__smoke-cleaning_17__section_18,3,2,2,1,0,0.7656742,smoke-cleaning,section,"('smoke-cleaning', 'NN')","('section', 'NN')"
3166,1482__plans_15__flotation_14,2,2,2,1,0,0.7656742,plans,flotation,"('plans', 'NNS')","('flotation', 'NN')"
3167,1488__company_17__successor_16,2,2,2,1,1,0.7656742,company,successor,"('company', 'NN')","('successor', 'NN')"
3169,3752__challenges_4__highlights_2,3,2,2,1,0,0.765157869,challenges,highlights,"('challenges', 'NNS')","('highlights', 'NNS')"
3172,7028__tactics_9__toughness_6,3,2,1,1,0,0.765157869,tactics,toughness,"('tactics', 'NNS')","('toughness', 'NN')"
3174,1536__line_7__pursue_5,2,2,2,1,1,0.765157869,line,pursue,"('line', 'NN')","('pursue', 'NN')"
3177,1086__role_5__plays_2,2,2,1,1,1,0.765157869,role,plays,"('role', 'NN')","('plays', 'NNS')"
3180,5218__invaders_53__space_57,2,2,2,1,0,0.765157869,invaders,space,"('invaders', 'NNS')","('space', 'NN')"
3183,4592__fashion_23__capital_24,2,2,1,1,1,0.765157869,fashion,capital,"('fashion', 'NN')","('capital', 'NN')"
3187,6737__aspects_23__magnetism_26,2,2,2,1,0,0.765157869,aspects,magnetism,"('aspects', 'NNS')","('magnetism', 'NN')"
3195,6898__signs_16__forgery_18,3,2,2,1,1,0.765040045,signs,forgery,"('signs', 'NNS')","('forgery', 'NN')"
3198,905__solicitors_10__country_9,3,2,1,0,0,0.764612913,solicitors,country,"('solicitors', 'NNS')","('country', 'NN')"
3201,594__oil_13__business_14,3,2,2,1,0,0.7641052290000001,oil,business,"('oil', 'NN')","('business', 'NN')"
3202,465__harmony_37__half_34,3,3,1,1,0,0.763701347,harmony,half,"('harmony', 'NN')","('half', 'NN')"
3203,5766__ocean_23__thrash_16,3,3,1,0,0,0.763674902,ocean,thrash,"('ocean', 'NN')","('thrash', 'NN')"
3204,2105__margin_6__turnover_10,3,2,2,1,0,0.7634077290000001,margin,turnover,"('margin', 'NN')","('turnover', 'NN')"
3209,7033__sense_6__departure_10,2,2,2,1,0,0.762398012,sense,departure,"('sense', 'NN')","('departure', 'NN')"
3218,7089__party_5__bodies_6,2,2,1,1,1,0.760785921,party,bodies,"('party', 'NN')","('bodies', 'NNS')"
3222,3699__theories_2__share_3,2,2,2,1,0,0.760785921,theories,share,"('theories', 'NNS')","('share', 'NN')"
3226,868__fuel_31__boosts_32,2,2,1,1,1,0.760785921,fuel,boosts,"('fuel', 'NN')","('boosts', 'NNS')"
3232,3681__theories_22__relics_29,3,2,2,1,0,0.760463274,theories,relics,"('theories', 'NNS')","('relics', 'NNS')"
3234,1079__wooden_15__body_16,3,2,1,1,0,0.76005199,wooden,body,"('wooden', 'NN')","('body', 'NN')"
3238,7597__life_13__stand_9,3,2,2,0,0,0.7594328109999999,life,stand,"('life', 'NN')","('stand', 'NN')"
3241,4778__newcomer_6__threat_12,3,2,1,0,0,0.7588845559999999,newcomer,threat,"('newcomer', 'NN')","('threat', 'NN')"
3242,1502__system_13__villain_8,3,3,1,0,0,0.758756251,system,villain,"('system', 'NN')","('villain', 'NN')"
3247,5723__drug_7__verges_9,3,2,2,0,0,0.7584131340000001,drug,verges,"('drug', 'NN')","('verges', 'NNS')"
3252,972__home_12__retreat_10,2,2,1,1,1,0.7581796040000001,home,retreat,"('home', 'NN')","('retreat', 'NN')"
3254,1760__disposal_18__halt_15,3,2,2,1,1,0.757962403,disposal,halt,"('disposal', 'NN')","('halt', 'NN')"
3259,6463__matters_23__approach_21,2,1,1,1,1,0.757488646,matters,approach,"('matters', 'NNS')","('approach', 'NN')"
3262,2614__draws_40__line_42,2,2,1,1,1,0.75706915,draws,line,"('draws', 'NN')","('line', 'NN')"
3271,2743__importance_25__clues_21,2,2,2,1,1,0.75706915,importance,clues,"('importance', 'NN')","('clues', 'NNS')"
3272,1593__connection_5__section_7,2,2,1,1,1,0.75706915,connection,section,"('connection', 'NN')","('section', 'NN')"
3277,6955__arbitrariness_48__charge_46,2,2,2,1,0,0.756941891,arbitrariness,charge,"('arbitrariness', 'NN')","('charge', 'NN')"
3282,3567__legality_22__framework_18,3,2,2,1,0,0.756941891,legality,framework,"('legality', 'NN')","('framework', 'NN')"
3285,6378__characteristics_13__foreclosure_12,3,1,1,1,1,0.756602432,characteristics,foreclosure,"('characteristics', 'NNS')","('foreclosure', 'NN')"
3287,6519__facilities_26__access_20,2,2,1,1,0,0.756509584,facilities,access,"('facilities', 'NNS')","('access', 'NN')"
3288,177__world_15__body_17,2,2,1,1,0,0.756509584,world,body,"('world', 'NN')","('body', 'NN')"
3293,7022__action_14__form_8,2,2,1,1,1,0.75608793,action,form,"('action', 'NN')","('form', 'NN')"
3296,6648__negation_35__negation_32,3,3,2,0,0,0.755799833,negation,negation,"('negation', 'NN')","('negation', 'NN')"
3310,1379__nature_17__female_16,3,2,2,1,0,0.755447735,nature,female,"('nature', 'NN')","('female', 'NN')"
3312,3685__delinquency_11__association_9,3,2,1,1,1,0.755447735,delinquency,association,"('delinquency', 'NN')","('association', 'NN')"
3319,2169__proportions_5__epic_4,3,2,1,1,0,0.755447735,proportions,epic,"('proportions', 'NNS')","('epic', 'NN')"
3321,7005__tailor_9__reactions_16,3,2,2,1,0,0.755447735,tailor,reactions,"('tailor', 'NN')","('reactions', 'NNS')"
3323,6431__nature_24__change_22,3,2,2,1,0,0.755447735,nature,change,"('nature', 'NN')","('change', 'NN')"
3329,5298__smiles_21__shy_20,3,2,1,1,1,0.755447735,smiles,shy,"('smiles', 'NNS')","('shy', 'NN')"
3337,6715__distinction_11__application_7,3,2,2,1,0,0.755447735,distinction,application,"('distinction', 'NN')","('application', 'NN')"
3339,3655__theories_8__range_6,2,2,1,1,1,0.755447735,theories,range,"('theories', 'NNS')","('range', 'NN')"
3341,505__sort_9__system_12,2,2,2,1,1,0.755447735,sort,system,"('sort', 'NN')","('system', 'NN')"
3348,8022__doll_16__turn-off_12,3,2,2,1,0,0.755447735,doll,turn-off,"('doll', 'NN')","('turn-off', 'NN')"
3350,1774__outlook_41__immediate_40,3,2,1,1,1,0.755447735,outlook,immediate,"('outlook', 'NN')","('immediate', 'NN')"
3357,3632__breeding_12__ground_13,2,2,2,1,1,0.754979105,breeding,ground,"('breeding', 'NN')","('ground', 'NN')"
3359,6957__narrow_33__sense_34,2,2,2,1,1,0.754979105,narrow,sense,"('narrow', 'NN')","('sense', 'NN')"
3361,6377__yield_10__attitudes_15,3,2,1,1,1,0.7549631640000001,yield,attitudes,"('yield', 'NN')","('attitudes', 'NNS')"
3364,4558__techniques_25__operations_23,2,2,1,1,0,0.7546581,techniques,operations,"('techniques', 'NNS')","('operations', 'NNS')"
3365,11094__celebrity_19__bit_16,3,2,1,1,0,0.754642846,celebrity,bit,"('celebrity', 'NN')","('bit', 'NN')"
3368,1550__concerns_29__shares_27,2,2,1,1,0,0.7540320070000001,concerns,shares,"('concerns', 'NNS')","('shares', 'NNS')"
3378,6878__animals_19__distinguish_9,3,2,1,0,0,0.753963616,animals,distinguish,"('animals', 'NNS')","('distinguish', 'NN')"
3386,974__gardener_15__novice_14,2,2,1,0,0,0.753480048,gardener,novice,"('gardener', 'NN')","('novice', 'NN')"
3388,6955__gain_39__charge_46,2,2,1,1,1,0.7530062909999999,gain,charge,"('gain', 'NN')","('charge', 'NN')"
3392,6263__action_10__guide_8,2,2,1,1,1,0.752053612,action,guide,"('action', 'NN')","('guide', 'NN')"
3396,1649__fun_26__pokes_25,3,1,1,1,1,0.752053612,fun,pokes,"('fun', 'NN')","('pokes', 'NNS')"
3401,3748__management_15__role_11,3,2,1,1,0,0.752053612,management,role,"('management', 'NN')","('role', 'NN')"
3402,6458__view_66__world_65,3,2,1,1,1,0.752053612,view,world,"('view', 'NN')","('world', 'NN')"
3403,1287__urgency_39__drive_43,3,2,1,1,0,0.752053612,urgency,drive,"('urgency', 'NN')","('drive', 'NN')"
3405,6417__definition_22__challenge_20,2,2,1,1,1,0.752053612,definition,challenge,"('definition', 'NN')","('challenge', 'NN')"
3407,1576__matter_15__sense_18,2,2,2,1,0,0.752053612,matter,sense,"('matter', 'NN')","('sense', 'NN')"
3410,3224__extends_15__directing_14,3,2,1,1,0,0.752053612,extends,directing,"('extends', 'NNS')","('directing', 'NN')"
3413,7019__sense_27__movement_29,2,2,2,1,1,0.752053612,sense,movement,"('sense', 'NN')","('movement', 'NN')"
3417,110__ride_34__wave_37,2,2,1,1,1,0.752053612,ride,wave,"('ride', 'NN')","('wave', 'NN')"
3429,6692__poem_2__highlights_3,3,2,2,1,0,0.752053612,poem,highlights,"('poem', 'NN')","('highlights', 'NNS')"
3431,968__shoots_7__bristles_3,3,2,1,1,0,0.752053612,shoots,bristles,"('shoots', 'NNS')","('bristles', 'NNS')"
3433,6740__term_17__sense_14,3,2,1,1,0,0.752053612,term,sense,"('term', 'NN')","('sense', 'NN')"
3442,1180__tower_30__slender_29,2,2,1,1,0,0.752053612,tower,slender,"('tower', 'NN')","('slender', 'NN')"
3446,8212__attorney_15__power_13,2,2,1,1,1,0.752053612,attorney,power,"('attorney', 'NN')","('power', 'NN')"
3454,8190__generosity_7__bit_5,2,2,1,1,1,0.752053612,generosity,bit,"('generosity', 'NN')","('bit', 'NN')"
3455,6490__range_12__backgrounds_15,3,2,1,1,0,0.752053612,range,backgrounds,"('range', 'NN')","('backgrounds', 'NNS')"
3458,3706__lax_12__attitudes_14,3,2,2,1,0,0.752053612,lax,attitudes,"('lax', 'NN')","('attitudes', 'NNS')"
3460,2614__harm_37__rule_39,3,2,1,1,0,0.752053612,harm,rule,"('harm', 'NN')","('rule', 'NN')"
3461,8126__arms_11__extension_8,3,2,2,1,0,0.752053612,arms,extension,"('arms', 'NNS')","('extension', 'NN')"
3465,1853__interchange_12__roles_14,2,2,1,1,0,0.752053612,interchange,roles,"('interchange', 'NN')","('roles', 'NNS')"
3467,3744__data_27__structures_28,3,2,1,1,1,0.752053612,data,structures,"('data', 'NNS')","('structures', 'NNS')"
3472,2555__killings_28__capture_25,2,2,1,1,1,0.752053612,killings,capture,"('killings', 'NNS')","('capture', 'NN')"
3482,1767__leader_9__market_8,2,2,1,1,1,0.752053612,leader,market,"('leader', 'NN')","('market', 'NN')"
3484,6692__developments_7__highlights_3,2,2,2,1,0,0.752053612,developments,highlights,"('developments', 'NNS')","('highlights', 'NNS')"
3487,1481__pull_6__fleet_9,3,2,1,1,0,0.752053612,pull,fleet,"('pull', 'NN')","('fleet', 'NN')"
3490,6747__position_19__mark_15,3,2,1,1,1,0.752053612,position,mark,"('position', 'NN')","('mark', 'NN')"
3491,1542__crisis_2__agenda_5,3,2,2,1,0,0.752053612,crisis,agenda,"('crisis', 'NN')","('agenda', 'NN')"
3494,3705__theories_3__refer_4,2,2,1,1,0,0.752053612,theories,refer,"('theories', 'NNS')","('refer', 'NN')"
3504,6287__performance_29__limits_30,2,2,2,1,1,0.752053612,performance,limits,"('performance', 'NN')","('limits', 'NNS')"
3512,1288__artist_12__image_8,3,2,1,1,0,0.752053612,artist,image,"('artist', 'NN')","('image', 'NN')"
3513,441__club_17__fixtures_18,2,2,2,1,0,0.752053612,club,fixtures,"('club', 'NN')","('fixtures', 'NNS')"
3524,6863__act_28__capacity_26,3,2,2,1,0,0.752053612,act,capacity,"('act', 'NN')","('capacity', 'NN')"
3527,3185__supervision_32__aims_30,3,2,1,1,0,0.752053612,supervision,aims,"('supervision', 'NN')","('aims', 'NNS')"
3533,6574__reflect_7__backgrounds_10,3,2,2,1,0,0.752053612,reflect,backgrounds,"('reflect', 'NN')","('backgrounds', 'NNS')"
3535,5196__headland_19__desolate_22,3,2,1,1,0,0.752053612,headland,desolate,"('headland', 'NN')","('desolate', 'NN')"
3536,6574__consciousness_35__express_33,3,2,2,1,0,0.752053612,consciousness,express,"('consciousness', 'NN')","('express', 'NN')"
3537,6461__beauty_22__focus_19,3,2,1,1,1,0.752053612,beauty,focus,"('beauty', 'NN')","('focus', 'NN')"
3544,1174__venture_4__field_8,2,2,1,1,1,0.752053612,venture,field,"('venture', 'NN')","('field', 'NN')"
3547,7023__secure_39__line_36,2,2,1,1,1,0.752053612,secure,line,"('secure', 'NN')","('line', 'NN')"
3554,6974__majority_19__secure_17,3,2,1,1,0,0.752053612,majority,secure,"('majority', 'NN')","('secure', 'NN')"
3557,3739__discussion_7__product_4,2,2,1,1,0,0.752053612,discussion,product,"('discussion', 'NN')","('product', 'NN')"
3560,6773__cohesion_20__sense_17,3,2,1,1,0,0.752053612,cohesion,sense,"('cohesion', 'NN')","('sense', 'NN')"
3561,6303__factors_17__play_18,2,2,1,1,1,0.752053612,factors,play,"('factors', 'NNS')","('play', 'NN')"
3573,8052__attention_16__bit_14,3,2,1,1,1,0.752053612,attention,bit,"('attention', 'NN')","('bit', 'NN')"
3577,1883__step_24__embark_20,3,2,1,1,0,0.752053612,step,embark,"('step', 'NN')","('embark', 'NN')"
3588,1260__success_12__eye_9,2,2,2,0,0,0.751020954,success,eye,"('success', 'NN')","('eye', 'NN')"
3591,11221__company_22__ties_17,3,2,1,1,0,0.7504402929999999,company,ties,"('company', 'NN')","('ties', 'NNS')"
3597,1621__relation_16__status_14,2,2,1,1,0,0.7500600740000001,relation,status,"('relation', 'NN')","('status', 'NN')"
3598,4781__security_3__designs_6,2,2,1,1,0,0.7500600740000001,security,designs,"('security', 'NN')","('designs', 'NNS')"
3612,6368__science_12__enter_11,3,3,1,1,0,0.74894527,science,enter,"('science', 'NN')","('enter', 'NN')"
3613,177__practices_31__reflect_32,2,1,1,1,1,0.748711343,practices,reflect,"('practices', 'NNS')","('reflect', 'NN')"
3628,6634__residues_11__products_2,3,2,2,0,0,0.747798712,residues,products,"('residues', 'NNS')","('products', 'NNS')"
3630,3232__aims_17__support_19,2,1,1,1,0,0.746994912,aims,support,"('aims', 'NNS')","('support', 'NN')"
3631,509__deserves_9__aspect_7,2,1,1,1,0,0.746994912,deserves,aspect,"('deserves', 'NNS')","('aspect', 'NN')"
3632,905__country_9__solicitors_10,3,3,1,1,0,0.746972456,country,solicitors,"('country', 'NN')","('solicitors', 'NNS')"
3638,4542__forecasting_18__models_19,2,2,2,1,1,0.7459223079999999,forecasting,models,"('forecasting', 'NN')","('models', 'NNS')"
3639,6516__development_18__step_15,3,2,2,1,0,0.7459223079999999,development,step,"('development', 'NN')","('step', 'NN')"
3646,6852__youth_18__stage_16,3,2,1,1,0,0.745324172,youth,stage,"('youth', 'NN')","('stage', 'NN')"
3647,3594__forces_23__gap_17,3,2,1,1,0,0.745324172,forces,gap,"('forces', 'NNS')","('gap', 'NN')"
3648,4483__risk_8__assessments_9,2,1,1,1,0,0.745178835,risk,assessments,"('risk', 'NN')","('assessments', 'NNS')"
3652,147__portraits_14__employ_16,3,2,1,0,0,0.7445315920000001,portraits,employ,"('portraits', 'NNS')","('employ', 'NN')"
3653,1364__sense_19__trauma_22,2,2,2,0,0,0.744404588,sense,trauma,"('sense', 'NN')","('trauma', 'NN')"
3655,3158__punishment_16__feature_14,2,2,2,0,0,0.744404588,punishment,feature,"('punishment', 'NN')","('feature', 'NN')"
3658,3086__pain_10__deal_8,2,1,1,1,0,0.743808893,pain,deal,"('pain', 'NN')","('deal', 'NN')"
3660,6674__event_11__conceive_8,2,1,1,1,0,0.743808893,event,conceive,"('event', 'NN')","('conceive', 'NN')"
3661,6531__survey_4__confirmed_5,2,1,1,1,0,0.743808893,survey,confirmed,"('survey', 'NN')","('confirmed', 'NN')"
3666,3086__deal_8__pain_10,3,2,1,1,0,0.74367936,deal,pain,"('deal', 'NN')","('pain', 'NN')"
3667,3078__p.c._38__growth_39,3,1,1,1,0,0.74367936,p.c.,growth,"('p.c.', 'NN')","('growth', 'NN')"
3673,6515__specialist_12__system_13,2,2,2,1,0,0.74248343,specialist,system,"('specialist', 'NN')","('system', 'NN')"
3676,1034__people_13__advance_15,3,3,2,1,0,0.74218019,people,advance,"('people', 'NNS')","('advance', 'NN')"
3677,1906__structure_4__pyramid_2,2,2,2,1,0,0.742107904,structure,pyramid,"('structure', 'NN')","('pyramid', 'NN')"
3681,1476__victory_9__mark_6,2,2,1,1,1,0.741986708,victory,mark,"('victory', 'NN')","('mark', 'NN')"
3688,1001__garden_36__emerge_39,2,2,2,1,0,0.7418748479999999,garden,emerge,"('garden', 'NN')","('emerge', 'NN')"
3689,9256__nerve_72__release_70,2,2,2,1,1,0.7418748479999999,nerve,release,"('nerve', 'NN')","('release', 'NN')"
3693,7031__resistance_11__campaign_9,2,2,2,1,1,0.7418748479999999,resistance,campaign,"('resistance', 'NN')","('campaign', 'NN')"
3696,3507__role_26__reduction_23,3,2,2,1,0,0.7418748479999999,role,reduction,"('role', 'NN')","('reduction', 'NN')"
3702,143__pertinence_23__model_18,3,2,2,1,0,0.7418748479999999,pertinence,model,"('pertinence', 'NN')","('model', 'NN')"
3703,140__recitatives_11__mixture_4,2,2,2,1,1,0.7418748479999999,recitatives,mixture,"('recitatives', 'NNS')","('mixture', 'NN')"
